# Weather station Yahotyn, Ukraine, WMO_ID=33356,selection from 27.10.2017 till 27.10.2018, all days
# Encoding: ANSI
# The data is provided by the website "Reliable Prognosis", rp5.ua 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ua/archive.php?wmo_id=33356&lang=en
#
"Local time in Yahotyn";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.10.2018 21:00";"8.3";"756.5";"768.1";"";"76";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.10.2018 18:00";"12.2";"755.2";"766.6";"";"67";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.10.2018 15:00";"14.8";"755.3";"766.6";"";"59";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.10.2018 12:00";"12.8";"755.2";"766.6";"";"72";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.10.2018 09:00";"8.3";"754.3";"765.8";"";"93";"Wind blowing from the north-west";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";"";
"21.10.2018 06:00";"8.7";"753.6";"765.1";"";"90";"Wind blowing from the north";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"21.10.2018 03:00";"10.4";"753.7";"765.1";"";"79";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.10.2018 00:00";"7.5";"753.5";"765.1";"";"93";"Wind blowing from the north";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";"";
"20.10.2018 21:00";"9.7";"753.6";"765.1";"";"93";"Wind blowing from the north-west";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"9.0";"";"";"";"";"";"";"";
"20.10.2018 18:00";"12.0";"752.9";"764.3";"";"83";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.10.2018 15:00";"18.2";"752.5";"763.6";"";"62";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.10.2018 12:00";"16.6";"753.1";"764.3";"";"64";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.10.2018 09:00";"10.4";"752.9";"764.3";"";"84";"Wind blowing from the north";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"9.0";"";"";"";"";"";"";"";
"20.10.2018 06:00";"9.3";"752.1";"763.6";"";"90";"Wind blowing from the north";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";"";
"20.10.2018 03:00";"10.4";"751.4";"762.8";"";"90";"Wind blowing from the north";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"20.10.2018 00:00";"8.3";"752.1";"763.6";"";"93";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"19.10.2018 21:00";"11.0";"751.4";"762.8";"";"85";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.10.2018 18:00";"16.6";"751.6";"762.8";"";"64";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.10.2018 15:00";"20.5";"751.8";"762.8";"";"55";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.10.2018 12:00";"17.0";"752.4";"763.6";"";"81";"Wind blowing from the north-west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";"";
"19.10.2018 09:00";"8.5";"752.8";"764.3";"";"93";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";"";
"19.10.2018 06:00";"5.1";"752.7";"764.3";"";"95";"Wind blowing from the north-east";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";"";
"19.10.2018 03:00";"6.9";"753.5";"765.1";"";"93";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";"";
"19.10.2018 00:00";"8.7";"754.3";"765.8";"";"95";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";"";
"18.10.2018 21:00";"12.6";"754.4";"765.8";"";"86";"Wind blowing from the south-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.10.2018 18:00";"20.7";"754.8";"765.8";"";"54";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.10.2018 15:00";"23.9";"755.7";"766.6";"";"38";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.10.2018 12:00";"21.3";"757.0";"768.1";"";"51";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.10.2018 09:00";"11.0";"757.3";"768.8";"";"92";"Wind blowing from the east";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";"";
"18.10.2018 06:00";"5.9";"757.1";"768.8";"";"95";"Wind blowing from the north-east";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";"";
"18.10.2018 03:00";"8.1";"758.0";"769.6";"";"96";"Wind blowing from the north-east";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";"";
"18.10.2018 00:00";"9.7";"758.1";"769.6";"";"93";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"17.10.2018 21:00";"14.4";"758.3";"769.6";"";"78";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.10.2018 18:00";"20.8";"757.7";"768.8";"";"44";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.10.2018 15:00";"24.4";"758.6";"769.6";"";"42";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.10.2018 12:00";"21.9";"759.2";"770.3";"";"50";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.10.2018 09:00";"10.5";"759.6";"771.1";"";"83";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.10.2018 06:00";"6.3";"759.4";"771.1";"";"95";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"17.10.2018 03:00";"7.7";"758.7";"770.3";"";"97";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";"";
"17.10.2018 00:00";"9.3";"759.5";"771.1";"";"96";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"16.10.2018 21:00";"12.0";"758.9";"770.3";"";"85";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.10.2018 18:00";"19.2";"759.1";"770.3";"";"66";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.10.2018 15:00";"23.7";"759.3";"770.3";"";"44";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.10.2018 12:00";"21.1";"760.0";"771.1";"";"51";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.10.2018 09:00";"10.2";"760.3";"771.8";"";"82";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.10.2018 06:00";"6.5";"760.1";"771.8";"";"95";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";"";
"16.10.2018 03:00";"7.1";"760.1";"771.8";"";"95";"Wind blowing from the north-east";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";"";
"16.10.2018 00:00";"8.7";"760.2";"771.8";"";"90";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";"";
"15.10.2018 21:00";"10.4";"760.3";"771.8";"";"90";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"15.10.2018 18:00";"17.6";"760.5";"771.8";"";"63";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.10.2018 15:00";"20.9";"760.7";"771.8";"";"48";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.10.2018 12:00";"18.2";"761.4";"772.6";"";"58";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.10.2018 09:00";"8.7";"761.7";"773.3";"";"77";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.10.2018 06:00";"2.3";"761.4";"773.3";"";"96";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";"";
"15.10.2018 03:00";"3.3";"761.4";"773.3";"";"97";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";"";
"15.10.2018 00:00";"4.7";"761.5";"773.3";"";"95";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";"";
"14.10.2018 21:00";"7.7";"761.6";"773.3";"";"88";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"9.0";"";"";"";"";"";"";"";
"14.10.2018 18:00";"15.2";"761.2";"772.6";"";"56";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.10.2018 15:00";"19.4";"762.1";"773.3";"";"38";"Wind blowing from the west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.10.2018 12:00";"15.6";"763.4";"774.8";"";"49";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.10.2018 09:00";"6.6";"763.1";"774.8";"";"91";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";"";
"14.10.2018 06:00";"1.1";"762.8";"774.8";"";"94";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";"";
"14.10.2018 03:00";"2.1";"762.9";"774.8";"";"94";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";"";
"14.10.2018 00:00";"3.9";"763.0";"774.8";"";"95";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"13.10.2018 21:00";"6.1";"763.0";"774.8";"";"86";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.10.2018 18:00";"15.0";"763.4";"774.8";"";"48";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.10.2018 15:00";"18.5";"764.3";"775.6";"";"33";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.10.2018 12:00";"16.0";"764.9";"776.3";"";"42";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.10.2018 09:00";"7.4";"765.4";"777.1";"";"67";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.10.2018 06:00";"2.1";"765.1";"777.1";"";"91";"Wind blowing from the north-east";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"13.10.2018 03:00";"4.7";"765.2";"777.1";"";"89";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.10.2018 00:00";"5.7";"764.5";"776.3";"";"86";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.10.2018 21:00";"7.7";"764.6";"776.3";"";"78";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.10.2018 18:00";"15.3";"764.2";"775.6";"";"44";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.10.2018 15:00";"18.2";"764.3";"775.6";"";"19";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.10.2018 12:00";"16.2";"764.9";"776.3";"";"35";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.10.2018 09:00";"8.7";"764.6";"776.3";"";"76";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.10.2018 06:00";"7.3";"763.1";"774.8";"";"90";"Wind blowing from the north-east";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"12.10.2018 03:00";"9.1";"762.5";"774.1";"";"88";"Wind blowing from the north-east";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"9.0";"";"";"";"";"";"";"";
"12.10.2018 00:00";"12.4";"762.6";"774.1";"";"70";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.10.2018 21:00";"12.0";"761.1";"772.6";"";"78";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.10.2018 18:00";"16.9";"759.8";"771.1";"";"64";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.10.2018 15:00";"19.7";"759.9";"771.1";"";"50";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.10.2018 12:00";"16.0";"760.5";"771.8";"";"58";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.10.2018 09:00";"9.1";"761.0";"772.6";"";"88";"Wind blowing from the north-west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";"";
"11.10.2018 06:00";"6.7";"760.9";"772.6";"";"95";"Wind blowing from the west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";"";
"11.10.2018 03:00";"4.7";"760.8";"772.6";"";"95";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";"";
"11.10.2018 00:00";"6.3";"760.9";"772.6";"";"95";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"10.10.2018 21:00";"11.1";"760.3";"771.8";"";"82";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.10.2018 18:00";"14.8";"759.7";"771.1";"";"64";"Wind blowing from the west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
